cle_externe,titre,description,image_url,temps_preparation,difficulte,cout_estime,calories,proteines_g,glucides_g,lipides_g,portions,source,statut_publication,regimes,allergenes,ingredients,etapes
catalogue-r-003,Poulet au curry et riz basmati,"Curry crémeux au lait de coco, riz parfumé.",https://images.unsplash.com/photo-1604908176997-125f25cc6f3d,30,facile,14,540,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_gluten|sans_noix,,Blanc de poulet:600:g;Lait de coco:400:ml;Pâte de curry:2:cs;Riz basmati:300:g;Oignon:1:unite,Faire revenir l'oignon et le poulet en dés.;Ajouter la pâte de curry puis le lait de coco.;Mijoter 15 minutes.;Servir avec le riz basmati cuit.
catalogue-r-004,Salade de quinoa aux légumes grillés,"Quinoa, courgettes, poivrons rôtis et feta.",https://images.unsplash.com/photo-1512621776951-a57141f2eefd,25,facile,11,420,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_noix,lactose,Quinoa:250:g;Courgette:2:unite;Poivron rouge:2:unite;Feta:150:g,Cuire le quinoa selon les instructions.;Griller les légumes au four 20 minutes.;Mélanger le tout et émietter la feta.
catalogue-r-005,Pâtes alla carbonara,"La vraie recette italienne, sans crème.",https://images.unsplash.com/photo-1612874742237-6526221588e3,20,facile,9,680,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_noix,gluten|oeuf|lactose,Spaghetti:400:g;Guanciale:150:g;Oeufs:4:unite;Pecorino:80:g,"Cuire les pâtes al dente.;Faire dorer le guanciale.;Mélanger oeufs et pecorino, incorporer hors du feu avec les pâtes."
catalogue-r-008,Tacos de boeuf épicé,"Tortillas maison, boeuf haché épicé, guacamole.",https://images.unsplash.com/photo-1565299585323-38d6b0865b47,30,facile,15,590,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_noix,gluten,Boeuf haché:500:g;Tortillas:8:unite;Avocat:2:unite;Tomate:2:unite,Faire revenir le boeuf avec les épices tacos.;Préparer le guacamole.;Garnir les tortillas chaudes.
catalogue-r-009,Soupe de légumes d'hiver,"Potiron, carottes, poireaux, mijotés longuement.",https://images.unsplash.com/photo-1547592180-85f173990554,40,facile,7,210,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegan|vegetarien|sans_gluten|sans_noix,,Potiron:500:g;Carottes:300:g;Poireau:2:unite;Bouillon de légumes:1:l,Couper les légumes en morceaux.;Mijoter 30 minutes dans le bouillon.;Mixer jusqu'à consistance lisse.
catalogue-r-010,Risotto aux champignons,"Riz arborio crémeux, champignons de Paris et parmesan.",https://images.unsplash.com/photo-1476124369491-e7addf5db371,40,moyen,12,520,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_gluten|sans_noix,lactose,Riz arborio:320:g;Champignons de Paris:300:g;Parmesan:80:g;Bouillon de légumes:1:l,"Faire revenir les champignons, réserver.;Nacrer le riz puis mouiller au bouillon louche par louche.;Incorporer les champignons et le parmesan en fin de cuisson."
catalogue-r-011,Poke bowl au thon,"Thon mariné, riz vinaigré, edamame, mangue.",https://images.unsplash.com/photo-1546069901-ba9599a7e63c,25,facile,16,450,,,,2,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_lactose|sans_noix|poisson,poisson|soja,Thon frais:250:g;Riz sushi:200:g;Edamame:150:g;Mangue:1:unite,Cuire et vinaigrer le riz.;Couper le thon en cubes et mariner à la sauce soja.;Dresser le bowl avec tous les ingrédients.
catalogue-r-013,"Escalope milanaise, spaghetti tomate","Escalope panée croustillante, sauce tomate maison.",https://images.unsplash.com/photo-1432139509613-5c4255815697,35,moyen,13,640,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_noix,gluten|oeuf,Escalope de veau:4:unite;Chapelure:150:g;Spaghetti:400:g;Tomates pelées:400:g,Paner les escalopes et cuire à la poêle.;Préparer la sauce tomate.;Servir avec les spaghetti.
catalogue-r-014,Wrap végétarien halloumi,"Halloumi grillé, houmous, crudités croquantes.",https://images.unsplash.com/photo-1626700051175-6818013e1d4f,15,facile,10,480,,,,2,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_noix,gluten|lactose,Halloumi:200:g;Tortillas:2:unite;Houmous:100:g;Concombre:1:unite,Griller les tranches d'halloumi.;Tartiner les tortillas de houmous.;Garnir et rouler.
catalogue-r-015,Boeuf bourguignon,"Mijoté français au vin rouge, carottes et lardons.",https://images.unsplash.com/photo-1544025162-d76694265947,150,difficile,19,610,,,,6,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_noix,,Boeuf à braiser:1:kg;Vin rouge:750:ml;Carottes:400:g;Lardons:150:g,"Faire dorer la viande et les lardons.;Ajouter le vin et les légumes, mijoter 2h30.;Réduire la sauce et servir."
catalogue-r-016,Pizza margherita maison,"Pâte maison, sauce tomate, mozzarella, basilic frais.",https://images.unsplash.com/photo-1574071318508-1cdbab80d002,45,moyen,9,700,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_noix,gluten|lactose,Farine:500:g;Mozzarella:250:g;Sauce tomate:300:g;Basilic frais:1:botte,"Préparer la pâte et laisser lever 1h.;Étaler, garnir de sauce et mozzarella.;Cuire au four très chaud 10 min, ajouter le basilic."
catalogue-r-017,Bowl petit-déjeuner smoothie,"Fruits rouges, banane, granola croustillant.",https://images.unsplash.com/photo-1494597564530-871f2b93ac55,10,facile,6,340,,,,2,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_gluten,fruits_a_coque,Fruits rouges surgelés:250:g;Banane:2:unite;Granola:100:g;Yogourt nature:200:g,"Mixer fruits, banane et yogourt.;Verser en bowl.;Garnir de granola."
catalogue-r-018,Gratin dauphinois,"Pommes de terre fondantes, crème et muscade.",https://images.unsplash.com/photo-1608835291093-394b0c943a75,75,facile,8,480,,,,6,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_gluten|sans_noix,lactose,Pommes de terre:1.2:kg;Crème entière:500:ml;Ail:2:unite;Muscade:1:pincee,Trancher finement les pommes de terre.;Disposer en couches avec crème et assaisonnement.;Cuire au four 1h à 180°C.
catalogue-r-019,Sauté de porc à l'ananas,"Porc caramélisé, ananas frais, sauce aigre-douce.",https://images.unsplash.com/photo-1603133872878-684f208fb84b,25,facile,12,510,,,,4,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,sans_lactose|sans_noix,soja,Filet de porc:500:g;Ananas frais:1:unite;Poivron:2:unite;Sauce soja:3:cs,Saisir le porc en lamelles.;Ajouter poivrons et ananas.;Déglacer à la sauce soja et servir avec du riz.
catalogue-r-020,Tarte aux pommes suisse,"Pâte brisée maison, pommes du Valais, cannelle.",https://images.unsplash.com/photo-1535920527002-b35e96722eb9,60,moyen,9,390,,,,8,"Coursia (recette originale) — photo Unsplash sous licence libre, aucune attribution requise",publiee,vegetarien|sans_noix,gluten|oeuf|lactose,Pâte brisée:1:unite;Pommes du Valais:1:kg;Sucre:100:g;Cannelle:1:cc,"Foncer le moule avec la pâte.;Disposer les pommes en éventail, saupoudrer de sucre-cannelle.;Cuire 40 min à 180°C."
